;docid;docnumber;docdate;parent;request;date;hour;name;federal_district;region_with_type;city;timezone;lat;lon;local_time
1959;443875;ОП-З-00859-005;2023-08-03 10:06:30.018222+03:00;441725;1022501296520;2023-08-03;10;"МАОУ ЛИЦЕЙ ""ТЕХНИЧЕСКИЙ""";Дальневосточный;Приморский край;Владивосток;UTC+10;43.1127838;131.9269091;2023-08-03 17:06:30.018222+10:00
1960;466091;ОП-З-01623-002;2023-09-07 12:10:41.683538+03:00;465897;1022701295011;2023-09-07;12;КГБ ПОУ ХТТТ;Дальневосточный;Хабаровский край;Хабаровск;UTC+10;48.4441749;135.1416054;2023-09-07 19:10:41.683538+10:00
1961;444366;О-З-00859-005;2023-08-04 05:06:02.237844+03:00;441725;1022501296520;2023-08-04;5;"МАОУ ЛИЦЕЙ ""ТЕХНИЧЕСКИЙ""";Дальневосточный;Приморский край;Владивосток;UTC+10;43.1127838;131.9269091;2023-08-04 12:06:02.237844+10:00
1962;491511;ОП-З-02259-002;2023-10-04 17:39:56.199792+03:00;489066;1023101668150;2023-10-04;17;"ОГАПОУ ""БПК""";Центральный;Белгородская обл;Белгород;UTC+3;50.5635889;36.5624013;2023-10-04 17:39:56.199792+03:00
1963;475391;З-01910;2023-09-14 16:51:02.339167+03:00;0;1149102131265;2023-09-14;16;"ГБ ПОУ РК ""ФПТ""";Южный;Респ Крым;Феодосия;UTC+3;45.0416206;35.3680468;2023-09-14 16:51:02.339167+03:00
1964;466018;О-З-01623-001;2023-09-07 12:02:02.176905+03:00;465897;1022701295011;2023-09-07;12;КГБ ПОУ ХТТТ;Дальневосточный;Хабаровский край;Хабаровск;UTC+10;48.4441749;135.1416054;2023-09-07 19:02:02.176905+10:00
1965;443864;ОП-З-00933-001;2023-08-03 09:55:28.577851+03:00;443852;1023800524802;2023-08-03;9;"ГБПОУ ИО ""АПЭТ""";Сибирский;Иркутская обл;Ангарск;UTC+8;52.5299004;103.8628329;2023-08-03 14:55:28.577851+08:00
1966;470783;ОП-З-01778-001;2023-09-11 15:45:04.829951+03:00;470769;1025901702485;2023-09-11;15;"ГБПОУ ""БПТ""";Приволжский;Пермский край;Березники;UTC+5;59.4117243;56.786397;2023-09-11 17:45:04.829951+05:00
1967;470764;ОП-З-01755-001;2023-09-11 15:41:25.472075+03:00;470018;1027810232680;2023-09-11;15;"ГУАП,ФГАОУ ВО ГУАП,ФГАОУ ВО ""САНКТ-ПЕТЕРБУРГСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ АЭРОКОСМИЧЕСКОГО ПРИБОРОСТРОЕНИЯ"",САНКТ-ПЕТЕРБУРГСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ АЭРОКОСМИЧЕСКОГО ПРИБОРОСТРОЕНИЯ";Северо-Западный;г Санкт-Петербург;Санкт-Петербург;UTC+3;59.9294588;30.2966347;2023-09-11 15:41:25.472075+03:00
1968;481107;ОП-З-02055-002;2023-09-21 16:25:27.469661+03:00;481053;1023404237669;2023-09-21;16;"ВОЛГУ, ФГАОУ ВО ""ВОЛГОГРАДСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ"", ВОЛГОГРАДСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ, ФГАОУ ВО ВОЛГУ";Южный;Волгоградская обл;Волгоград;UTC+3;48.6417131;44.4227743;2023-09-21 16:25:27.469661+03:00
